Method	Selected date	Hour / window	Value (atm)	Notes
Peak hour (reference only; ADRM: do not plan to it)	2015-08-15	12:00	30.0	
20th busiest hour (Amsterdam convention)	2015-07-19	18:00	16.0	
Standard Busy Rate, 30th busiest hour (BAA; ZAG convention)	2015-07-05	17:00	12.0	
40th busiest hour (Paris convention)	2015-07-10	17:00	12.0	
Busy Hour Rate, 5% busy hour (ADRM/Heathrow)	2015-07-06	17:00	12.0	32 hours above; threshold 5%
IATA Busy Day (2nd busiest day, average week, peak month)	2015-07-07	18:00 (rolling60 17:25 = 16.0)	16.0	
FAA PMAD peak hour (peak month average day)	2015-07	18:00	11.74	average of 31 days in 2015-07
FAA PMAWD peak hour (weekdays only)	2015-07	18:00	11.3	average of 23 days in 2015-07
Peak day (reference only)	2015-08-15		134.0	
90th-percentile day	2015-01-16		24.0	rank 37 of 365 days
Season S peak day (OAG season)	2015-08-15		134.0	
Season S 30th busy hour	2015-07-05	17:00	12.0	
Season W peak day (OAG season)	2015-01-01		24.0	
Season W 30th busy hour	2015-01-05	21:00	4.0	
Source	synthetic_year(2015), engineered fixture			basis atm; annual total 9590.0 over 365 days
