Airline	FlightNumber	Origin	Op. days	Equipment	Service type	Seats	Departure time	Hub time	Arrival time	Seats	Service type	Equipment	Op. days	Arrival	FlightNumber	Airline
XY	435	JED	1234567	32N	J	170	23:00:00	00:20:00								
								00:30:00	02:15:00	288	J	333	2 4 6	RUH	1680	SV
F3	437	DMM	1234567	320	J	186	22:35:00	00:35:00								
SV	1640	JED	1234567	320	J	144	23:45:00	01:05:00								
								01:05:00	02:20:00	170	J	32N	1234567	JED	436	XY
								01:30:00	03:35:00	186	J	320	1234567	DMM	438	F3
F3	27	RUH	1234567	320	J	186	00:01:00	01:40:00								
								01:45:00	03:05:00	144	J	320	1234567	JED	1643	SV
								02:20:00	04:00:00	186	J	320	1234567	RUH	28	F3
SV	1642	JED	1234567	320	J	144	02:45:00	04:05:00								
								04:45:00	06:05:00	144	J	320	1234567	JED	1645	SV
XY	781	MED	12 4 6	32N	J	170	03:10:00	04:50:00								
F3	335	JED	1234567	320	J	186	03:50:00	05:10:00								
F3	13	RUH	1234567	320	J	186	04:00:00	05:40:00								
								05:40:00	07:45:00	170	J	32N	12 4 6	TUU	782	XY
SM	443	CAI	1 34	320	J	180	03:01:00	05:50:00								
								05:50:00	07:05:00	186	J	320	1234567	JED	336	F3
SV	1661	RUH	1234567	330	J	330	04:10:00	05:55:00								
								06:20:00	08:00:00	186	J	320	1234567	RUH	14	F3
								06:50:00	08:35:00	330	J	330	1234567	RUH	1662	SV
								06:50:00	09:40:00	180	J	320	1 34	CAI	444	SM
XY	83	RUH	1234567	32N	J	170	05:20:00	07:00:00								
F3	333	JED	1234567	320	J	186	06:20:00	07:35:00								
								07:45:00	09:20:00	170	J	32N	1234567	RUH	84	XY
SV	1644	JED	1234567	320	J	144	06:40:00	08:00:00								
SV	1663	RUH	1234567	320	J	144	06:20:00	08:05:00								
XY	425	JED	1234567	32N	J	170	06:45:00	08:05:00								
XY	81	RUH	1234567	32N	J	170	06:30:00	08:10:00								
								08:15:00	09:25:00	186	J	320	1234567	JED	334	F3
								08:40:00	10:00:00	144	J	320	1234567	JED	1647	SV
								08:50:00	10:35:00	144	J	320	1234567	RUH	1664	SV
								08:50:00	10:05:00	170	J	32N	1234567	JED	426	XY
								08:55:00	10:30:00	170	J	32N	1234567	RUH	82	XY
F3	15	RUH	1234567	320	J	186	09:20:00	11:00:00								
XY	709	DMM	1234567	32N	J	170	09:00:00	11:05:00								
QR	1212	DOH	4 6	320	J	144	08:55:00	11:15:00								
								11:40:00	13:20:00	186	J	320	1234567	RUH	16	F3
SV	1669	RUH	345	320	J	144	10:05:00	11:50:00								
								11:50:00	13:50:00	170	J	32N	1234567	DMM	710	XY
FZ	815	DXB	1234567	7M8	J	174	10:25:00	12:15:00								
								12:35:00	14:20:00	144	J	320	345	RUH	1670	SV
								12:40:00	15:15:00	144	J	320	4 6	DOH	1213	QR
F3	337	JED	1234567	320	J	186	11:50:00	13:05:00								
								13:15:00	17:00:00	174	J	7M8	1234567	DXB	816	FZ
F3	17	RUH	1234567	320	J	186	11:45:00	13:20:00								
SV	1646	JED	1234567	320	J	144	12:15:00	13:35:00								
								13:45:00	15:05:00	186	J	320	1234567	JED	338	F3
								14:00:00	15:40:00	186	J	320	1234567	RUH	18	F3
								14:15:00	15:35:00	144	J	320	1234567	JED	1649	SV
G9	195	SHJ	1234567	320	J	174	12:45:00	14:30:00								
XY	89	RUH	1234567	32N	J	170	12:55:00	14:35:00								
								15:20:00	18:55:00	174	J	320	1234567	SHJ	196	G9
SV	1671	RUH	4	333	J	298	13:35:00	15:20:00								
								15:20:00	16:55:00	170	J	32N	1234567	RUH	90	XY
SV	1648	JED	2 4 6	333	J	298	14:20:00	15:40:00								
								16:05:00	17:50:00	298	J	333	4	RUH	1672	SV
XY	737	DMM	4	32N	J	170	14:20:00	16:25:00								
