String	Airline	Origin	Equipment	Time	Hour	D/A	Year	Region2	AlCat	Pair	GroundTime	Type
F31008	F3	Middle East	A320	03:35:00	3	A	2025	Middle East	F3	F31009	100	Commercial
F31010	F3	Saudi Arabia	A320	07:45:00	7	A	2025	Saudi Arabia	F3	F31001	194.99999999999994	Commercial
F31002	F3	Middle East	A320	13:50:00	13	A	2025	Middle East	F3	F31003	120.00000000000006	Commercial
F31004	F3	Middle East	A320	18:50:00	18	A	2025	Middle East	F3	F31005	59.99999999999994	Commercial
F31006	F3	Middle East	A320	22:30:00	22	A	2025	Middle East	F3	F31007	135.00000000000023	Commercial
F31012	F3	Middle East	B737	10:55:00	10	A	2025	Middle East	F3	F31013	60.00000000000003	Commercial
F31014	F3	Saudi Arabia	B737	14:55:00	14	A	2025	Saudi Arabia	F3	F31011	1040	Commercial
F31018	F3	Saudi Arabia	A350	03:05:00	3	A	2025	Saudi Arabia	F3	F31027	130.00000000000017	Commercial
F31026	F3	Saudi Arabia	A350	03:10:00	3	A	2025	Saudi Arabia	F3	F31019	175.00000000000003	Commercial
F31028	F3	Saudi Arabia	A350	08:35:00	8	A	2025	Saudi Arabia	F3	F31021	155	Commercial
F31020	F3	Middle East	A350	09:55:00	9	A	2025	Middle East	F3	F31029	170.00000000000003	Commercial
F31022	F3	Saudi Arabia	A350	15:10:00	15	A	2025	Saudi Arabia	F3	F31023	159.99999999999991	Commercial
F31030	F3	Middle East	A350	16:15:00	16	A	2025	Middle East	F3	F31015	109.99999999999993	Commercial
F31024	F3	Saudi Arabia	A350	21:10:00	21	A	2025	Saudi Arabia	F3	F31025	149.99999999999994	Commercial
F31016	F3	Saudi Arabia	A350	21:25:00	21	A	2025	Saudi Arabia	F3	F31017	139.99999999999997	Commercial
F31032	F3	Saudi Arabia	A350	22:35:00	22	A	2025	Saudi Arabia	F3	F31031	1200	Commercial
F31040	F3	Africa	B787	04:20:00	4	A	2025	Africa	F3	F31035	284.99999999999994	Commercial
F31034	F3	Middle East	B787	06:10:00	6	A	2025	Middle East	F3	F31037	565.0000000000001	Commercial
F31036	F3	Saudi Arabia	B787	13:05:00	13	A	2025	Saudi Arabia	F3	F31039	645.0000000000001	Commercial
F31038	F3	Saudi Arabia	B787	21:15:00	21	A	2025	Saudi Arabia	F3	F31033	314.9999999999998	Commercial
F31048	F3	Europe	A321	05:00:00	5	A	2025	Europe	F3	F31041	50.0000000000001	Commercial
F31046	F3	Europe	A321	10:15:00	10	A	2025	Europe	F3	F31043	69.99999999999974	Commercial
F31042	F3	Saudi Arabia	A321	10:20:00	10	A	2025	Saudi Arabia	F3	F31047	139.99999999999997	Commercial
F31044	F3	Africa	A321	17:25:00	17	A	2025	Africa	F3	F31045	150.0000000000001	Commercial
F31050	F3	Europe	A321	21:25:00	21	A	2025	Europe	F3	F31049	610.0000000000001	Commercial
F31052	F3	North America	E190	20:45:00	20	A	2025	North America	F3	F31051	110.00000000000009	Commercial
F31056	F3	North America	B757	09:35:00	9	A	2025	North America	F3	F31053	865	Commercial
F31054	F3	Asia	B757	23:10:00	23	A	2025	Asia	F3	F31055	175	Commercial
F31086	F3	Saudi Arabia	A320	01:25:00	1	A	2030	Saudi Arabia	F3	F31087	109.99999999999982	Commercial
F31088	F3	Saudi Arabia	A320	06:15:00	6	A	2030	Saudi Arabia	F3	F31089	90	Commercial
F31090	F3	Saudi Arabia	A320	10:45:00	10	A	2030	Saudi Arabia	F3	F31091	14.999999999999947	Commercial
F31092	F3	Middle East	A320	13:40:00	13	A	2030	Middle East	F3	F31081	9.999999999999964	Commercial
F31082	F3	Saudi Arabia	A320	16:20:00	16	A	2030	Saudi Arabia	F3	F31083	65.00000000000009	Commercial
F31084	F3	Middle East	A320	20:05:00	20	A	2030	Middle East	F3	F31085	140.00000000000014	Commercial
F31094	F3	Saudi Arabia	B737	17:30:00	17	A	2030	Saudi Arabia	F3	F31095	85.00000000000001	Commercial
F31096	F3	Middle East	B737	21:35:00	21	A	2030	Middle East	F3	F31093	1025.0000000000002	Commercial
F31104	F3	Saudi Arabia	A350	01:30:00	1	A	2030	Saudi Arabia	F3	F31105	120.00000000000001	Commercial
F31112	F3	Middle East	A350	02:15:00	2	A	2030	Middle East	F3	F31099	350.00000000000006	Commercial
F31098	F3	Middle East	A350	05:00:00	5	A	2030	Middle East	F3	F31107	255.00000000000006	Commercial
F31106	F3	Saudi Arabia	A350	07:30:00	7	A	2030	Saudi Arabia	F3	F31101	445	Commercial
F31100	F3	Middle East	A350	11:45:00	11	A	2030	Middle East	F3	F31109	195.00000000000003	Commercial
F31108	F3	Middle East	A350	12:45:00	12	A	2030	Middle East	F3	F31103	555	Commercial
F31102	F3	Saudi Arabia	A350	18:55:00	18	A	2030	Saudi Arabia	F3	F31111	219.99999999999986	Commercial
F31110	F3	Saudi Arabia	A350	19:00:00	19	A	2030	Saudi Arabia	F3	F31097	380	Commercial
F31120	F3	Africa	B787	08:30:00	8	A	2030	Africa	F3	F31115	259.99999999999994	Commercial
F31114	F3	Middle East	B787	09:45:00	9	A	2030	Middle East	F3	F31117	530	Commercial
F31116	F3	Middle East	B787	16:30:00	16	A	2030	Middle East	F3	F31119	620	Commercial
F31118	F3	Africa	B787	23:45:00	23	A	2030	Africa	F3	F31113	390	Commercial
F31128	F3	Asia	A321	02:55:00	2	A	2030	Asia	F3	F31129	14.999999999999826	Commercial
F31124	F3	Middle East	A321	03:55:00	3	A	2030	Middle East	F3	F31125	20.00000000000005	Commercial
F31126	F3	Indian Sub Continent	A321	09:25:00	9	A	2030	Indian Sub Continent	F3	F31121	60.00000000000003	Commercial
F31122	F3	Middle East	A321	18:55:00	18	A	2030	Middle East	F3	F31123	40.000000000000014	Commercial
F31130	F3	Asia	A321	19:00:00	19	A	2030	Asia	F3	F31127	975	Commercial
F31132	F3	Asia	E190	19:05:00	19	A	2030	Asia	F3	F31131	109.99999999999977	Commercial
F31134	F3	Asia	B757	17:30:00	17	A	2030	Asia	F3	F31135	259.9999999999999	Commercial
F31136	F3	North America	B757	1900-01-01 01:40:00	1	A	2030	North America	F3	F31133	1270.0000000000002	Commercial
F31164	F3	Middle East	A320	00:30:00	0	A	2035	Middle East	F3	F31165	540.0000000000001	Commercial
F31172	F3	Middle East	A320	01:10:00	1	A	2035	Middle East	F3	F31167	810	Commercial
F31166	F3	Middle East	A320	12:30:00	12	A	2035	Middle East	F3	F31161	300.00000000000006	Commercial
F31168	F3	Middle East	A320	17:00:00	17	A	2035	Middle East	F3	F31169	59.99999999999994	Commercial
F31162	F3	Saudi Arabia	A320	20:20:00	20	A	2035	Saudi Arabia	F3	F31163	99.99999999999997	Commercial
F31170	F3	Saudi Arabia	A320	20:50:00	20	A	2035	Saudi Arabia	F3	F31171	90.00000000000016	Commercial
F31174	F3	Middle East	B737	05:35:00	5	A	2035	Middle East	F3	F31175	70.00000000000003	Commercial
F31176	F3	Saudi Arabia	B737	09:35:00	9	A	2035	Saudi Arabia	F3	F31173	1020	Commercial
F31180	F3	Saudi Arabia	A350	01:50:00	1	A	2035	Saudi Arabia	F3	F31181	225.00000000000009	Commercial
F31188	F3	Middle East	A350	04:55:00	4	A	2035	Middle East	F3	F31183	410	Commercial
F31182	F3	Middle East	A350	09:15:00	9	A	2035	Middle East	F3	F31177	254.99999999999997	Commercial
F31184	F3	Saudi Arabia	A350	15:15:00	15	A	2035	Saudi Arabia	F3	F31185	145.0000000000001	Commercial
F31178	F3	Saudi Arabia	A350	17:10:00	17	A	2035	Saudi Arabia	F3	F31179	279.99999999999994	Commercial
F31186	F3	Saudi Arabia	A350	21:30:00	21	A	2035	Saudi Arabia	F3	F31187	205	Commercial
F31196	F3	Middle East	B787	05:50:00	5	A	2035	Middle East	F3	F31189	65.00000000000001	Commercial
F31190	F3	Saudi Arabia	B787	10:35:00	10	A	2035	Saudi Arabia	F3	F31191	170.0000000000001	Commercial
F31192	F3	Middle East	B787	16:45:00	16	A	2035	Middle East	F3	F31193	119.99999999999989	Commercial
F31194	F3	Saudi Arabia	B787	22:25:00	22	A	2035	Saudi Arabia	F3	F31195	235	Commercial
F31204	F3	Middle East	A321	07:00:00	7	A	2035	Middle East	F3	F31205	94.99999999999999	Commercial
F31198	F3	Saudi Arabia	A321	10:25:00	10	A	2035	Saudi Arabia	F3	F31199	134.99999999999991	Commercial
F31206	F3	Europe	A321	13:55:00	13	A	2035	Europe	F3	F31201	270.00000000000017	Commercial
F31200	F3	Africa	A321	17:10:00	17	A	2035	Africa	F3	F31203	469.9999999999999	Commercial
F31202	F3	Middle East	A321	23:45:00	23	A	2035	Middle East	F3	F31197	410	Commercial
F31208	F3	Europe	E190	04:05:00	4	A	2035	Europe	F3	F31207	619.9999999999998	Commercial
F31210	F3	Asia	B757	07:55:00	7	A	2035	Asia	F3	F31211	99.99999999999997	Commercial
F31212	F3	North America	B757	20:45:00	20	A	2035	North America	F3	F31209	639.9999999999998	Commercial
F31246	F3	Saudi Arabia	A320	03:15:00	3	A	2040	Saudi Arabia	F3	F31247	80	Commercial
F31248	F3	Middle East	A320	06:55:00	6	A	2040	Middle East	F3	F31241	504.99999999999994	Commercial
F31242	F3	Saudi Arabia	A320	18:00:00	18	A	2040	Saudi Arabia	F3	F31243	145.0000000000001	Commercial
F31244	F3	Saudi Arabia	A320	23:05:00	23	A	2040	Saudi Arabia	F3	F31245	100.00000000000023	Commercial
