			String	Airline		Origin	Op. days	Equipment	Service type	Seats	Time	Hub time	Hour	D/A	Year	Country	Region	Airline category	DD region	Other region	Xx	Pair	Ground time	Pax	Transfer	O&D	Chart data	Aircraft code	Type	
			E5511_SP	E5		CAI		320	J	170		21:50:00	21	A	2025	Egypt	Africa	F3				E5512_SP	59.99999999999994							
			F3437_SP	F3		DMM		320	J	186		00:35:00	0	A	2025	Saudi Arabia	Saudi Arabia	F3				F3438_SP	55.00000000000001							
			F327_SP	F3		RUH		320	J	186		01:40:00	1	A	2025	Saudi Arabia	Saudi Arabia	F3				F328_SP	40							
			F3335_SP	F3		JED		320	J	186		05:10:00	5	A	2025	Saudi Arabia	Saudi Arabia	F3				F3336_SP	39.99999999999998							
			F313_SP	F3		RUH		320	J	186		05:40:00	5	A	2025	Saudi Arabia	Saudi Arabia	F3				F314_SP	40.000000000000014							
			F3333_SP	F3		JED		320	J	186		07:35:00	7	A	2025	Saudi Arabia	Saudi Arabia	F3				F3334_SP	40.000000000000014							
			F315_SP	F3		RUH		320	J	186		11:00:00	11	A	2025	Saudi Arabia	Saudi Arabia	F3				F316_SP	40.000000000000014							
			F3337_SP	F3		JED		320	J	186		13:05:00	13	A	2025	Saudi Arabia	Saudi Arabia	F3				F3338_SP	40.000000000000014							
			F317_SP	F3		RUH		320	J	186		13:20:00	13	A	2025	Saudi Arabia	Saudi Arabia	F3				F318_SP	40.000000000000014							
			F319_SP	F3		RUH		320	J	186		17:00:00	17	A	2025	Saudi Arabia	Saudi Arabia	F3				F320_SP	40.000000000000014							
			F3431_SP	F3		DMM		320	J	186		17:05:00	17	A	2025	Saudi Arabia	Saudi Arabia	F3				F3432_SP	35.000000000000036							
			F3341_SP	F3		JED		320	J	186		17:25:00	17	A	2025	Saudi Arabia	Saudi Arabia	F3				F3342_SP	40.000000000000014							
			F321_SP	F3		RUH		320	J	186		18:20:00	18	A	2025	Saudi Arabia	Saudi Arabia	F3				F322_SP	45							
			F323_SP	F3		RUH		320	J	186		20:00:00	20	A	2025	Saudi Arabia	Saudi Arabia	F3				F324_SP	40.000000000000014							
			F3435_SP	F3		DMM		320	J	186		22:35:00	22	A	2025	Saudi Arabia	Saudi Arabia	F3				F3436_SP	40.000000000000014							
			F3345_SP	F3		JED		320	J	186		22:45:00	22	A	2025	Saudi Arabia	Saudi Arabia	F3				F3346_SP	40.000000000000014							
			FZ815_SP	FZ		DXB		7M8	J	174		12:15:00	12	A	2025	United Arab Emirates	GCC	FZ				FZ816_SP	60.00000000000011							
			FZ813_SP	FZ		DXB		7M8	J	174		17:55:00	17	A	2025	United Arab Emirates	GCC	FZ				FZ814_SP	59.99999999999994							
			G9195_SP	G9		SHJ		320	J	174		14:30:00	14	A	2025	United Arab Emirates	GCC	G9				G9196_SP	49.999999999999986							
			QR1212_SP	QR		DOH		320	J	144		11:15:00	11	A	2025	Qatar	GCC	QR				QR1213_SP	85.00000000000001							
			SM443_SP	SM		CAI		320	J	180		05:50:00	5	A	2025	Egypt	Africa	SM				SM444_SP	59.999999999999986							
			SV1640_SP	SV		JED		320	J	144		01:05:00	1	A	2025	Saudi Arabia	Saudi Arabia	SV				SV1643_SP	40.00000000000001							
			SV1642_SP	SV		JED		320	J	144		04:05:00	4	A	2025	Saudi Arabia	Saudi Arabia	SV				SV1645_SP	39.99999999999998							
			SV1644_SP	SV		JED		320	J	144		08:00:00	8	A	2025	Saudi Arabia	Saudi Arabia	SV				SV1647_SP	40.000000000000014							
			SV1663_SP	SV		RUH		320	J	144		08:05:00	8	A	2025	Saudi Arabia	Saudi Arabia	SV				SV1664_SP	45							
			SV1669_SP	SV		RUH		320	J	144		11:50:00	11	A	2025	Saudi Arabia	Saudi Arabia	SV				SV1670_SP	45							
			SV1646_SP	SV		JED		320	J	144		13:35:00	13	A	2025	Saudi Arabia	Saudi Arabia	SV				SV1649_SP	40.000000000000014							
			SV1650_SP	SV		JED		320	J	144		19:10:00	19	A	2025	Saudi Arabia	Saudi Arabia	SV				SV1653_SP	39.99999999999986							
			SV1677_SP	SV		RUH		320	J	144		20:05:00	20	A	2025	Saudi Arabia	Saudi Arabia	SV				SV1678_SP	54.999999999999964							
			SV1673_SP	SV		RUH		320	J	144		21:50:00	21	A	2025	Saudi Arabia	Saudi Arabia	SV				SV1674_SP	40.000000000000014							
			SV1661_SP	SV		RUH		330	J	330		05:55:00	5	A	2025	Saudi Arabia	Saudi Arabia	SV				SV1662_SP	54.999999999999964							
			SV1675_SP	SV		RUH		330	J	330		17:40:00	17	A	2025	Saudi Arabia	Saudi Arabia	SV				SV1676_SP	54.999999999999964							
			SV1679_SP	SV		RUH		330	J	330		23:40:00	23	A	2025	Saudi Arabia	Saudi Arabia	SV				SV1680_SP	50							
			SV1671_SP	SV		RUH		333	J	298		15:20:00	15	A	2025	Saudi Arabia	Saudi Arabia	SV				SV1672_SP	45							
			SV1648_SP	SV		JED		333	J	298		15:40:00	15	A	2025	Saudi Arabia	Saudi Arabia	SV				SV1651_SP	49.999999999999986							
			SV1652_SP	SV		JED		333	J	288		21:25:00	21	A	2025	Saudi Arabia	Saudi Arabia	SV				SV1655_SP	49.999999999999986							
			XY435_SP	XY		JED		32N	J	170		00:20:00	0	A	2025	Saudi Arabia	Saudi Arabia	XY				XY436_SP	45							
			XY781_SP	XY		MED		32N	J	170		04:50:00	4	A	2025	Saudi Arabia	Saudi Arabia	XY				XY782_SP	49.999999999999986							
			XY83_SP	XY		RUH		32N	J	170		07:00:00	7	A	2025	Saudi Arabia	Saudi Arabia	XY				XY84_SP	45							
			XY425_SP	XY		JED		32N	J	170		08:05:00	8	A	2025	Saudi Arabia	Saudi Arabia	XY				XY426_SP	45							
			XY81_SP	XY		RUH		32N	J	170		08:10:00	8	A	2025	Saudi Arabia	Saudi Arabia	XY				XY82_SP	45							
			XY709_SP	XY		DMM		32N	J	170		11:05:00	11	A	2025	Saudi Arabia	Saudi Arabia	XY				XY710_SP	45							
			XY89_SP	XY		RUH		32N	J	170		14:35:00	14	A	2025	Saudi Arabia	Saudi Arabia	XY				XY90_SP	45							
			XY737_SP	XY		DMM		32N	J	170		16:25:00	16	A	2025	Saudi Arabia	Saudi Arabia	XY				XY738_SP	45							
			XY85_SP	XY		RUH		32N	J	170		16:30:00	16	A	2025	Saudi Arabia	Saudi Arabia	XY				XY86_SP	45							
			XY91_SP	XY		RUH		32N	J	170		20:10:00	20	A	2025	Saudi Arabia	Saudi Arabia	XY				XY92_SP	45							
			E5512_SP	E5		CAI		320	J	170		22:50:00	22	D	2025	Egypt	Africa	E5				E5511_SP	0							
			F3438_SP	F3		DMM		320	J	186		01:30:00	1	D	2025	Saudi Arabia	Saudi Arabia	F3				F3437_SP	0							
			F328_SP	F3		RUH		320	J	186		02:20:00	2	D	2025	Saudi Arabia	Saudi Arabia	F3				F327_SP	0							
			F3336_SP	F3		JED		320	J	186		05:50:00	5	D	2025	Saudi Arabia	Saudi Arabia	F3				F3335_SP	0							
