String	Airline	Airline name	Origin	Op. days	Equipment	Service type	Seats	Time	Hub time	Hour	D/A	Year	Airline category	Pair	Ground time	Pair class
XY435_SP	XY		JED	1234567	32N	J	170	00:20:00		0	A	2025	XY	XY436_SP	45	standard_turn
F3437_SP	F3		DMM	1234567	320	J	186	00:35:00		0	A	2025	F3	F3438_SP	55	standard_turn
SV1640_SP	SV		JED	1234567	320	J	144	01:05:00		1	A	2025	SV	SV1643_SP	40	standard_turn
F327_SP	F3		RUH	1234567	320	J	186	01:40:00		1	A	2025	F3	F328_SP	40	standard_turn
SV1642_SP	SV		JED	1234567	320	J	144	04:05:00		4	A	2025	SV	SV1645_SP	40	standard_turn
XY781_SP	XY		MED	12 4 6	32N	J	170	04:50:00		4	A	2025	XY	XY782_SP	50	standard_turn
F3335_SP	F3		JED	1234567	320	J	186	05:10:00		5	A	2025	F3	F3336_SP	40	standard_turn
F313_SP	F3		RUH	1234567	320	J	186	05:40:00		5	A	2025	F3	F314_SP	40	standard_turn
SM443_SP	SM		CAI	1 34	320	J	180	05:50:00		5	A	2025	SM	SM444_SP	60	standard_turn
SV1661_SP	SV		RUH	1234567	330	J	330	05:55:00		5	A	2025	SV	SV1662_SP	55	standard_turn
XY83_SP	XY		RUH	1234567	32N	J	170	07:00:00		7	A	2025	XY	XY84_SP	45	standard_turn
F3333_SP	F3		JED	1234567	320	J	186	07:35:00		7	A	2025	F3	F3334_SP	40	standard_turn
SV1644_SP	SV		JED	1234567	320	J	144	08:00:00		8	A	2025	SV	SV1647_SP	40	standard_turn
SV1663_SP	SV		RUH	1234567	320	J	144	08:05:00		8	A	2025	SV	SV1664_SP	45	standard_turn
XY425_SP	XY		JED	1234567	32N	J	170	08:05:00		8	A	2025	XY	XY426_SP	45	standard_turn
XY81_SP	XY		RUH	1234567	32N	J	170	08:10:00		8	A	2025	XY	XY82_SP	45	standard_turn
F315_SP	F3		RUH	1234567	320	J	186	11:00:00		11	A	2025	F3	F316_SP	40	standard_turn
XY709_SP	XY		DMM	1234567	32N	J	170	11:05:00		11	A	2025	XY	XY710_SP	45	standard_turn
QR1212_SP	QR		DOH	4 6	320	J	144	11:15:00		11	A	2025	QR	QR1213_SP	85	standard_turn
SV1669_SP	SV		RUH	345	320	J	144	11:50:00		11	A	2025	SV	SV1670_SP	45	standard_turn
FZ815_SP	FZ		DXB	1234567	7M8	J	174	12:15:00		12	A	2025	FZ	FZ816_SP	60	standard_turn
F3337_SP	F3		JED	1234567	320	J	186	13:05:00		13	A	2025	F3	F3338_SP	40	standard_turn
F317_SP	F3		RUH	1234567	320	J	186	13:20:00		13	A	2025	F3	F318_SP	40	standard_turn
