# Towerlog day 2025-05-26, extracted from 2025 Towerlog.xlsx
# Source: MZLZ AODB towerlog (Jess's 2025 Towerlog.xlsx); every movement carried, classes per the log's Categ./Kind fields
dir	time	registration	carrier	flight	od_iata	actype	categ	kind	pax
A	00:08	9HLOZ	RYR	2186	MLA	A320	S	PA	168
A	00:22	9HLOQ	RYR	2190A	STN	A320	S	PA	171
A	02:28	9AJET		001	NCE	C25A	G	PA	4
D	05:48	9HLOQ	RYR	2185	MLA	A320	S	PA	165
D	05:51	9HLOA	RYR	6000	BGY	A320	S	PA	165
D	05:53	9HLMI	RYR	8787	HHN	A320	S	PA	142
D	05:56	9HLOZ	RYR	2191	DUB	A320	S	PA	167
A	05:57	LZCGB	BCS	9116	MXP	B738	S	C	0
D	06:04	DAILI	DLH	1405	FRA	A319	S	PA	125
D	06:08	DAIDM	DLH	1731	MUC	A321	S	PA	129
A	06:10	SPSPF	SAR	1976	CGN	AT72	S	C	0
D	06:15	PHNXO	KLM	1964	AMS	E295	S	PA	120
A	06:42	9ACQF	CTN	327	OMO	DH8D	S	PA	46
A	06:47	9ACTO	CTN	651	SPU	A320	S	PA	84
D	06:52	9ACQD	CTN	4436	MUC	DH8D	S	PA	57
A	06:56	9ACTG	CTN	341	SJJ	A319	S	PA	27
A	07:00	9ACAL	CTN	367	SKP	BCS3	S	PA	61
A	07:03	9ACTN	CTN	661	DBV	A319	S	PA	102
D	07:05	SPSPF	SAR	1976	BEG	AT72	S	C	0
A	07:12	YLRAL	TDR	811	OSI	SF3	S	PA	6
D	07:21	E7NEL	RAC	9002	SJJ	SF3	S	C	0
A	07:28	9ACQE	CTN	631	ZAD	DH8D	S	PA	24
D	07:52	9ACTL	CTN	410	FRA	A319	S	PA	96
D	08:00	CSPHB		177D	BEG	E55P	G	PA	1
D	08:02	YLRAL	TDR	812	OSI	SF3	S	PA	0
D	08:04	9ACTG	CTN	486	ARN	A319	S	PA	62
D	08:18	9ACQF	CTN	440	VIE	DH8D	S	PA	52
A	08:25	TCLSV	THY	1053	IST	A21N	S	PA	157
D	08:31	9ACTN	CTN	450	AMS	A319	S	PA	90
A	08:35	9HLOA	RYR	5999	BGY	A320	S	PA	158
D	08:44	9ACAL	CTN	480	CPH	BCS3	S	PA	68
D	09:06	9ACAE	CTN	470	CDG	BCS3	S	PA	99
A	09:09	9HLMI	RYR	8788	HHN	A320	S	PA	154
D	09:11	9ACTO	CTN	416	FRA	A320	S	PA	117
D	09:20	9ACQE	CTN	460	ZRH	DH8D	S	PA	47
D	09:34	9HLOA	RYR	3104	STN	A320	S	PA	156
D	09:41	TCLSV	THY	1054	IST	A21N	S	PA	123
A	09:45	9HLOQ	RYR	2186B	MLA	A320	S	PA	168
D	09:50	9AJET		001	PUY	C25A	G	PA	0
D	09:54	9HLMI	RYR	8789	GOT	A320	S	PA	161
D	10:10	130601	EUR	2912	RZE	C130	G	MC	0
A	10:34	SEMKI	AUA	683	VIE	AT72	S	PA	66
D	10:36	9HLOQ	RYR	2123	CRL	A320	S	PA	124
A	10:39	9HEWA	EWG	972	CGN	A320	S	PA	132
A	10:55	YUASD	ASL	600	BEG	AT72	S	PA	50
A	11:10	9HSWI	EWG	2976	STR	A320	S	PA	149
D	11:25	SEMKI	AUA	684	VIE	AT72	S	PA	38
D	11:33	9HEWA	EWG	973	CGN	A320	S	PA	101
D	11:35	YUASD	ASL	601	BEG	AT72	S	PA	59
A	11:50	SPLEB	LOT	611	WAW	E295	S	PA	108
A	11:53	9AJSD	JSY	3A	SPU	C25A	G	PA	0
A	11:56	9ACTL	CTN	417	FRA	A319	S	PA	121
A	11:58	FHBLM	AFR	1160	CDG	E190	S	PA	94
A	12:01	9HLOZ	RYR	2192	DUB	A320	S	PA	176
A	12:05	9AJIP		001	AMS	C25A	G	PA	0
D	12:05	9HSWI	EWG	2977	STR	A320	S	PA	148
A	12:21	9ACQF	CTN	653	SPU	DH8D	S	PA	50
A	12:33	DAIEL	DLH	1726	MUC	A21N	S	PA	172
D	12:49	SPLEB	LOT	612	WAW	E295	S	PA	101
D	12:53	9ACTL	CTN	652	SPU	A319	S	PA	53
A	12:59	TCJVY	THY	1057	IST	B738	S	PA	126
A	13:10	9ACTN	CTN	451	AMS	A319	S	PA	105
D	13:13	9ACQF	CTN	668	DBV	DH8D	S	PA	69
D	13:16	9HLOZ	RYR	4385	MMX	A320	S	PA	157
D	13:21	FHBLM	AFR	1161	CDG	E190	S	PA	58
A	13:23	9ACAL	CTN	481	CPH	BCS3	S	PA	108
D	13:25	N344RS	UNI	1111	DBV	GLF5	G	PA	5
A	13:28	9ACQE	CTN	461	ZRH	DH8D	S	PA	58
A	13:37	9ACTG	CTN	487	ARN	A319	S	PA	98
A	13:41	GDBCD	BAW	848	LHR	A319	S	PA	129
A	13:45	A7AHY	QTR	217	DOH	A320	S	PA	132
A	13:47	A6FME	FDB	1793	DXB	B38M	S	PA	157
D	13:50	DAIEL	DLH	1727	MUC	A21N	S	PA	163
A	13:51	9ADLH	ZML	1111	LSZ	PA28	G	PA	0
A	13:56	130601	EUR	2912	RZE	C130	G	MC	0
D	14:02	9AJSD	JSY	4A	BLQ	C25A	G	PA	0
D	14:09	TCJVY	THY	1058	IST	B738	S	PA	110
A	14:20	DAILI	DLH	1406	FRA	A319	S	PA	130
A	14:24	YUALZ	ASL	602	BEG	AT72	S	PA	40
A	14:30	9HLMI	RYR	8790	GOT	A320	S	PA	170
A	14:33	9HLOQ	RYR	2124	CRL	A320	S	PA	176
A	14:36	9HLOA	RYR	3105	STN	A320	S	PA	170
D	14:38	9ACQE	CTN	674	ZAD	DH8D	S	PA	3
D	14:40	9ACAL	CTN	368	SKP	BCS3	S	PA	65
D	14:50	A6FME	FDB	1794	DXB	B38M	S	PA	64
A	14:55	FHBLD	AFR	1560	CDG	E190	S	PA	81
D	14:57	GDBCD	BAW	849	LHR	A319	S	PA	130
A	15:00	9ACTL	CTN	655	SPU	A319	S	PA	74
D	15:02	9ACTG	CTN	662	DBV	A319	S	PA	105
A	15:08	EIEVJ	RYR	2279	GRO	B738	S	PA	172
D	15:11	130601	EUR	2912	RZE	C130	G	MC	0
D	15:17	YUALZ	ASL	603	BEG	AT72	S	PA	49
D	15:29	DAILI	DLH	1407	FRA	A319	S	PA	126
A	15:35	9ACQF	CTN	667	DBV	DH8D	S	PA	66
D	15:37	9ACTN	CTN	344	SJJ	A319	S	PA	22
A	15:41	YUBTN		543N	GOA	C525	G	PA	5
D	15:43	9HLOQ	RYR	8791	BVA	A320	S	PA	152
A	15:46	OKCER		001	BEG	PC12	G	PA	5
D	15:47	FHBLD	AFR	1561	CDG	E190	S	PA	60
D	15:49	A7AHY	QTR	218	DOH	A320	S	PA	81
D	15:51	9HLOA	RYR	601	AGP	A320	S	PA	163
D	15:55	9ACTL	CTN	380	SPU	A319	S	PA	54
D	16:05	EIEVJ	RYR	2280	GRO	B738	S	PA	181
A	16:06	PHNXL	KLM	1967	AMS	E295	S	PA	119
D	16:15	9ACQF	CTN	654	SPU	DH8D	S	PA	21
D	16:33	9ADLH	ZML	1111	LSZ	PA28	G	PA	1
A	16:33	YLRAL	TDR	813	OSI	SF3	S	PA	2
D	16:35	YUBTN		543N	BEG	C525	G	PA	0
D	17:09	PHNXL	KLM	1968	AMS	E295	S	PA	99
A	17:12	9ACTN	CTN	345	SJJ	A319	S	PA	29
A	17:19	9ACTG	CTN	665	DBV	A319	S	PA	134
A	17:23	9ACQE	CTN	674	PUY	DH8D	S	PA	23
A	17:29	9ACAL	CTN	369	SKP	BCS3	S	PA	120
A	17:43	9HLOZ	RYR	4384	MMX	A320	S	PA	175
D	18:04	9ACTN	CTN	414	FRA	A319	S	PA	82
D	18:08	9ACQE	CTN	464	ZRH	DH8D	S	PA	60
D	18:10	9ACTG	CTN	4456	BRU	A319	S	PA	51
A	18:29	E7NEL	RAC	9001	SJJ	SF3	S	C	0
A	18:35	SXNEJ	AEE	780	ATH	A20N	S	PA	101
D	18:38	9HLOZ	RYR	2284	PMI	A320	S	PA	174
A	18:57	130601	EUR	2912	RZE	C130	G	MC	0
A	19:18	TCLTB	THY	1055	IST	A21N	S	PA	163
D	19:28	9ACAL	CTN	490	LHR	BCS3	S	PA	55
A	19:37	OMNDB		777	OPO	C56X	G	PA	1
D	19:40	SXNEJ	AEE	781	ATH	A20N	S	PA	152
A	19:50	9HLOQ	RYR	8792	BVA	A320	S	PA	173
A	20:15	9ACAE	CTN	471	CDG	BCS3	S	PA	104
A	20:18	EIDLC	RYR	4464	NAP	B738	S	PA	166
D	20:31	TCLTB	THY	1056	IST	A21N	S	PA	153
A	20:34	EIEGA	RYR	2190	STN	B738	S	PA	179
D	20:37	LZCGB	BCS	9117	MXP	B738	S	C	0
D	20:43	9HLOQ	RYR	8793	TRF	A320	S	PA	145
D	21:00	EIDLC	RYR	4465	NAP	B738	S	PA	166
D	21:02	YLRAL	TDR	814	OSI	SF3	S	PA	1
A	21:11	DAIUP	DLH	1730	MUC	A320	S	PA	123
A	21:16	SPRSN	RYR	737	WRO	B738	C	ELP	0
D	21:23	EIEGA	RYR	2189	STN	B738	S	PA	165
A	21:26	9ACQE	CTN	465	ZRH	DH8D	S	PA	52
A	21:26	9ACTL	CTN	381	SPU	A319	S	PA	87
A	21:54	SPSPF	SAR	1975	BEG	AT72	S	C	0
D	21:58	SPRSN	RYR	2375	MLA	B738	S	PA	161
A	22:04	9ACTG	CTN	4457	BRU	A319	S	PA	50
