sheet	section	measure	row	split	year	value
Base	30th BHRs - Old Terminal		2-way	Schengen	2025	964.1
Base	30th BHRs - Old Terminal		2-way	Non-Schengen	2025	618.4
Base	30th BHRs - Old Terminal		2-way	Total	2025	1202.7
Base	30th BHRs - Old Terminal		Arrivals	Schengen	2025	672.9
Base	30th BHRs - Old Terminal		Arrivals	Non-Schengen	2025	481.1
Base	30th BHRs - Old Terminal		Arrivals	Total	2025	854.2
Base	30th BHRs - Old Terminal		Departures	Schengen	2025	696.3
Base	30th BHRs - Old Terminal		Departures	Non-Schengen	2025	357.6
Base	30th BHRs - Old Terminal		Departures	Total	2025	786.6
Base	30th BHRs - New Terminal		2-way	Schengen	2025	949.5
Base	30th BHRs - New Terminal		2-way	Non-Schengen	2025	694.6
Base	30th BHRs - New Terminal		2-way	Total	2025	1421.0
Base	30th BHRs - New Terminal		Arrivals	Schengen	2025	641.2
Base	30th BHRs - New Terminal		Arrivals	Non-Schengen	2025	320.7
Base	30th BHRs - New Terminal		Arrivals	Total	2025	741.4
Base	30th BHRs - New Terminal		Departures	Schengen	2025	707.8
Base	30th BHRs - New Terminal		Departures	Non-Schengen	2025	512.0
Base	30th BHRs - New Terminal		Departures	Total	2025	839.3
Base	30th BHRs - Overall		2-way	Schengen	2025	1370.6
Base	30th BHRs - Overall		2-way	Non-Schengen	2025	897.5
Base	30th BHRs - Overall		2-way	Total	2025	2153.2
Base	30th BHRs - Overall		Arrivals	Schengen	2025	850.1
Base	30th BHRs - Overall		Arrivals	Non-Schengen	2025	658.5
Base	30th BHRs - Overall		Arrivals	Total	2025	1154.1
Base	30th BHRs - Overall		Departures	Schengen	2025	911.9
Base	30th BHRs - Overall		Departures	Non-Schengen	2025	574.8
Base	30th BHRs - Overall		Departures	Total	2025	1169.0
Base	30th BHRs - Overall		Transfers		2025	195.7
Base	Peak Runway Movements		Overall peak		2025	19.3
Base	Stands - by Stand Code - Old Terminal - Commercial	Overall peak	A		2025	0.0
Base	Stands - by Stand Code - Old Terminal - Commercial	Overall peak	B		2025	0.0
Base	Stands - by Stand Code - Old Terminal - Commercial	Overall peak	C		2025	8.5
Base	Stands - by Stand Code - Old Terminal - Commercial	Overall peak	D		2025	0.0
Base	Stands - by Stand Code - Old Terminal - Commercial	Overall peak	E		2025	0.0
Base	Stands - by Stand Code - Old Terminal - Commercial	Overall peak	Total		2025	8.5
Base	Stands - by Stand Code - Old Terminal - Commercial	Overnight Peak	A		2025	0.0
Base	Stands - by Stand Code - Old Terminal - Commercial	Overnight Peak	B		2025	0.0
Base	Stands - by Stand Code - Old Terminal - Commercial	Overnight Peak	C		2025	6.6
Base	Stands - by Stand Code - Old Terminal - Commercial	Overnight Peak	D		2025	0.0
Base	Stands - by Stand Code - Old Terminal - Commercial	Overnight Peak	E		2025	0.0
Base	Stands - by Stand Code - Old Terminal - Commercial	Overnight Peak	Total		2025	6.6
Base	Stands - by Stand Code - Old Terminal - Commercial	Individual Peak	A		2025	0.0
Base	Stands - by Stand Code - Old Terminal - Commercial	Individual Peak	B		2025	0.0
Base	Stands - by Stand Code - Old Terminal - Commercial	Individual Peak	C		2025	8.5
Base	Stands - by Stand Code - Old Terminal - Commercial	Individual Peak	D		2025	0.0
Base	Stands - by Stand Code - Old Terminal - Commercial	Individual Peak	E		2025	0.0
Base	Stands - by Stand Code - New Terminal - Commercial	Overall peak	A		2025	0.0
Base	Stands - by Stand Code - New Terminal - Commercial	Overall peak	B		2025	0.0
Base	Stands - by Stand Code - New Terminal - Commercial	Overall peak	C		2025	14.3
Base	Stands - by Stand Code - New Terminal - Commercial	Overall peak	D		2025	0.0
Base	Stands - by Stand Code - New Terminal - Commercial	Overall peak	E		2025	0.0
