sheet	section	measure	row	split	year	value
Base	30th BHRs - Old Terminal		2-way	Schengen	2025	1004
Base	30th BHRs - Old Terminal		2-way	Schengen	2030	1238
Base	30th BHRs - Old Terminal		2-way	Schengen	2035	1465
Base	30th BHRs - Old Terminal		2-way	Schengen	2040	1763
Base	30th BHRs - Old Terminal		2-way	Schengen	2045	2056
Base	30th BHRs - Old Terminal		2-way	Non-Schengen	2025	614
Base	30th BHRs - Old Terminal		2-way	Non-Schengen	2030	653
Base	30th BHRs - Old Terminal		2-way	Non-Schengen	2035	757
Base	30th BHRs - Old Terminal		2-way	Non-Schengen	2040	875
Base	30th BHRs - Old Terminal		2-way	Non-Schengen	2045	985
Base	30th BHRs - Old Terminal		2-way	Total	2025	1142
Base	30th BHRs - Old Terminal		2-way	Total	2030	1371
Base	30th BHRs - Old Terminal		2-way	Total	2035	1641
Base	30th BHRs - Old Terminal		2-way	Total	2040	1980
Base	30th BHRs - Old Terminal		2-way	Total	2045	2313
Base	30th BHRs - Old Terminal		Arrivals	Schengen	2025	699
Base	30th BHRs - Old Terminal		Arrivals	Schengen	2030	855
Base	30th BHRs - Old Terminal		Arrivals	Schengen	2035	1005
Base	30th BHRs - Old Terminal		Arrivals	Schengen	2040	1202
Base	30th BHRs - Old Terminal		Arrivals	Schengen	2045	1394
Base	30th BHRs - Old Terminal		Arrivals	Non-Schengen	2025	506
Base	30th BHRs - Old Terminal		Arrivals	Non-Schengen	2030	533
Base	30th BHRs - Old Terminal		Arrivals	Non-Schengen	2035	611
Base	30th BHRs - Old Terminal		Arrivals	Non-Schengen	2040	699
Base	30th BHRs - Old Terminal		Arrivals	Non-Schengen	2045	779
Base	30th BHRs - Old Terminal		Arrivals	Total	2025	819
Base	30th BHRs - Old Terminal		Arrivals	Total	2030	963
Base	30th BHRs - Old Terminal		Arrivals	Total	2035	1132
Base	30th BHRs - Old Terminal		Arrivals	Total	2040	1346
Base	30th BHRs - Old Terminal		Arrivals	Total	2045	1553
Base	30th BHRs - Old Terminal		Departures	Schengen	2025	689
Base	30th BHRs - Old Terminal		Departures	Schengen	2030	841
Base	30th BHRs - Old Terminal		Departures	Schengen	2035	987
Base	30th BHRs - Old Terminal		Departures	Schengen	2040	1178
Base	30th BHRs - Old Terminal		Departures	Schengen	2045	1363
Base	30th BHRs - Old Terminal		Departures	Non-Schengen	2025	488
Base	30th BHRs - Old Terminal		Departures	Non-Schengen	2030	514
